day_month,y2020,y2019,y2018,y2017
2020-07-02,NA,NA,NA,6.9
2020-07-01,NA,NA,6.2,10.5
2020-06-30,NA,8.2,7.3,8.4
2020-06-29,NA,7.1,6.5,7.8
2020-06-28,NA,8.4,6.4,6.7
2020-06-27,NA,9.8,7.3,8.8
2020-06-26,NA,9.8,5.7,8
2020-06-25,NA,9.1,6.3,6.7
2020-06-24,NA,7.7,6.6,9.3
2020-06-23,NA,8.2,9.2,7.8
2020-06-22,NA,10,9.4,8.3
2020-06-21,NA,10.4,7.7,8.4
2020-06-20,NA,8.2,7.6,6.8
2020-06-19,NA,9.3,5.7,9.5
2020-06-18,NA,8,6.4,5.9
2020-06-17,NA,7.6,5.3,9.1
2020-06-16,NA,6.5,5.4,8.2
2020-06-15,NA,8.9,4.2,5.9
2020-06-14,9.1,7.3,4.2,5.1
2020-06-13,7.8,7.6,4.6,6.2
2020-06-12,8.2,7.1,6.4,6.6
2020-06-11,7.4,10,7.2,5
2020-06-10,8.1,11.8,7.4,6.8
2020-06-09,8.2,13.6,7.5,8.6
2020-06-08,7.6,10.4,8.5,5
2020-06-07,6.7,9.1,8.5,5.6
2020-06-06,6.4,10,7.7,4.8
2020-06-05,6.6,10.2,7.3,5.3
2020-06-04,8.4,9.1,7.3,8.9
2020-06-03,7.3,8.5,7.1,9.7
2020-06-02,6.6,9.2,4.6,8.5
2020-06-01,7.4,11.7,7.3,12.5
2020-05-31,5.5,9.1,8.2,6
2020-05-30,5.7,12.7,6.8,7.3
2020-05-29,5.7,10.3,10.9,7.6
2020-05-28,5.9,9.8,11.1,7.3
2020-05-27,6.6,9.9,9.1,7.3
2020-05-26,8.1,7.8,10.9,8.2
2020-05-25,7.7,7.6,11.3,7.7
2020-05-24,7,8.9,9.7,11
2020-05-23,8.4,10.9,12.7,10.7
2020-05-22,10,9.2,8.3,10.3
2020-05-21,7.2,8.6,6.7,10.2
2020-05-20,7.5,9.8,7.6,6.4
2020-05-19,10.1,8.2,11.6,6.4
2020-05-18,8.6,6.7,7.3,5.4
2020-05-17,8.5,8.5,6.8,7.8
2020-05-16,7.9,9.5,6.8,10.2
2020-05-15,7.1,10.9,8.2,9.3
2020-05-14,6.8,7.3,6.4,10.4
2020-05-13,7.3,12,7,16.1
2020-05-12,6.4,9.1,13.6,13.1
2020-05-11,6.4,9.1,11.8,9.4
2020-05-10,6.4,7.8,8.2,7.5
2020-05-09,6.6,11.6,7.3,7.4
2020-05-08,6.8,14.1,4.6,14.5
2020-05-07,5.9,13.2,10.9,14.5
2020-05-06,6.7,13.1,8.6,15
2020-05-05,7.1,10,7.3,8.2
2020-05-04,6,9.1,5.9,7
2020-05-03,5.8,8.2,5.5,12.7
2020-05-02,6.2,8.5,5.9,7.1
2020-05-01,6.8,11.3,6.4,6.4
2020-04-30,6.6,11.6,8.2,8.4
2020-04-29,7,8.5,8.4,6.6
2020-04-28,6.6,7.3,7.7,6.7
2020-04-27,5.7,7.6,8.6,7.9
2020-04-26,6.2,10.2,10.9,7.7
2020-04-25,5.2,9.8,11.8,5.7
2020-04-24,7.5,10,9.1,6.6
2020-04-23,7.2,12.9,5.5,5.9
2020-04-22,6.9,14.1,5.5,10
2020-04-21,5.8,12.5,5.2,6.8
2020-04-20,7.5,9.5,5.5,10.3
2020-04-19,5.9,9,5,8.2
2020-04-18,5,7.3,3.2,7.4
2020-04-17,4.9,6.4,7.3,7.5
2020-04-16,7.3,7.1,9.9,13.2
2020-04-15,7.5,7.8,5,8
2020-04-14,7.5,NA,4.4,14.6
2020-04-13,7.3,7.8,4.1,8.2
2020-04-12,5.5,7.8,2.8,6.9
2020-04-11,7.3,9.1,0.1,8.3
2020-04-10,7.1,12.1,0.6,7.9
2020-04-09,5.5,10.3,4.9,6.9
2020-04-08,4.4,8.9,4.3,8.2
2020-04-07,4.6,11.8,4.5,7.3
2020-04-06,7.2,11.1,4.7,4.8
2020-04-05,6.8,15.2,3.7,6.5
2020-04-04,5.5,13.2,6.6,6.5
2020-04-03,5.1,9.3,6.9,6.2
2020-04-02,5,9.8,6.4,6
2020-04-01,5,7,6.4,6.6
2020-03-31,4.6,7.5,5.9,6.4
2020-03-30,4.8,12,5.5,5.5
2020-03-29,4.4,13.1,4.6,8.9
2020-03-28,4.6,12.9,3.7,6.6
2020-03-27,4.5,8,4.6,8.8
2020-03-26,5.3,8.4,5,6.4
2020-03-25,5.8,8,5.3,7.2
2020-03-24,7.1,7.3,5.1,7.3
2020-03-23,7.3,6.6,4.1,13.4
2020-03-22,7.1,5.8,6.3,6.4
2020-03-21,8,10,8.9,7.3
2020-03-20,9.5,10.2,9.1,8
2020-03-19,9.4,9.7,4.6,8.5
2020-03-18,8.4,8.9,0.1,8.5
2020-03-17,7.8,8.2,4.7,7.3
2020-03-16,7.1,7.1,7.3,8.4
2020-03-15,7.6,7.7,5.9,7.6
2020-03-14,6.5,10.5,5.1,7.6
2020-03-13,6.7,9.3,5,5.7
2020-03-12,7.5,7.3,5.5,6.2
2020-03-11,7,9.1,4.6,6.2
2020-03-10,7.7,7,3.8,5.6
2020-03-09,6.1,7.6,3.6,6
2020-03-08,10.1,9.5,4.1,7.5
2020-03-07,7,10,4.6,9.8
2020-03-06,5.9,7.7,4.9,8.2
2020-03-05,6.2,7,5,7.3
2020-03-04,9.2,9.1,4.6,6.1
2020-03-03,13.1,8.2,5.5,7.7
2020-03-02,12.4,11.8,7.1,7.4
2020-03-01,7.4,9.1,8,7.3
2020-02-29,6.7,NA,NA,NA
2020-02-28,7.8,6.5,9.1,11.3
2020-02-27,10.3,5.5,5.6,8.8
2020-02-26,13.1,7.5,4.6,6.4
2020-02-25,10.6,8.9,5.5,8.9
2020-02-24,8.6,7.3,10,6.9
2020-02-23,10,6.4,11.8,7.7
2020-02-22,8.2,7.4,6.4,7.7
2020-02-21,7.5,8.9,12.7,6.1
2020-02-20,9.2,10.3,10,9.4
2020-02-19,11.7,10.9,10.3,8.2
2020-02-18,9.8,9.6,6.8,6.1
2020-02-17,12.2,8.2,7.3,7.3
2020-02-16,11.1,8.2,6.8,6.7
2020-02-15,8.2,9.1,5.9,9.4
2020-02-14,7.3,10.9,4.6,10
2020-02-13,7.8,14.8,6.4,8.4
2020-02-12,11.1,15.2,4.1,8.2
2020-02-11,15,13.1,7.4,10.4
2020-02-10,13.6,10.2,13.3,8.6
2020-02-09,11.5,6.8,8.6,8.2
2020-02-08,10.7,7.5,8.6,7.5
2020-02-07,13.2,7.1,6.4,7.1
2020-02-06,10.4,12.5,7.2,10.7
2020-02-05,11.5,20.8,8.2,10.9
2020-02-04,15,11.6,5.9,10.6
2020-02-03,12.5,8.9,5.9,16
2020-02-02,11.1,9.2,8,16.7
2020-02-01,11.5,11.1,8.2,11.2
2020-01-31,10.4,12.2,7.7,12.9
2020-01-30,10,11.8,7,12.2
2020-01-29,10,9.2,8.2,7.9
2020-01-28,10.9,8.4,9.1,6.2
2020-01-27,18.6,8.4,7.7,5.3
2020-01-26,15.7,7.5,8.8,11.3
2020-01-25,13.6,7.1,10,12
2020-01-24,9.1,10.2,11.6,11.8
2020-01-23,8,12.9,9.5,9.5
2020-01-22,16.1,8.2,4.8,10.7
2020-01-21,16,11.8,0.1,9.4
2020-01-20,11.8,29,4.2,9.8
2020-01-19,9.5,16.1,5.3,8.4
2020-01-18,12.5,15.2,6.3,8.3
2020-01-17,10.2,22.3,4.3,8.3
2020-01-16,11.4,19,3.7,9.5
2020-01-15,10.4,9.8,3.3,17.2
2020-01-14,10.9,8.8,3.7,13.5
2020-01-13,16.3,17,6.2,10.8
2020-01-12,18.3,22.6,3.9,13.6
2020-01-11,11.9,19.9,4.8,7.5
2020-01-10,11.1,11.3,4.3,6
2020-01-09,8.2,10.2,1.3,8.4
2020-01-08,11.2,10.8,4.6,10
2020-01-07,10.5,11.8,5,12
2020-01-06,11.8,11.4,9.5,13.1
2020-01-05,11.3,15.6,6.8,18.1
2020-01-04,17.7,15,7.6,21.3
2020-01-03,20.3,18.5,5.4,17.9
2020-01-02,24.3,19.9,4,21.4
2020-01-01,22.6,17.6,5.1,19
