day_month,y2020,y2019,y2018,y2017
2020-07-02,NA,NA,NA,9.9
2020-07-01,NA,NA,11.5,10.3
2020-06-30,NA,13.9,13.4,10.7
2020-06-29,NA,13.5,12.2,10.3
2020-06-28,NA,16,13,9.3
2020-06-27,NA,17.1,14.1,11.4
2020-06-26,NA,15.3,14.3,9.2
2020-06-25,NA,12.8,13.3,13.1
2020-06-24,NA,9.6,14.4,13.6
2020-06-23,NA,9.2,21.1,10.7
2020-06-22,NA,18,21.6,11.9
2020-06-21,NA,19,15.2,13.2
2020-06-20,NA,13.8,14.8,14.5
2020-06-19,NA,17.7,11.6,14.5
2020-06-18,NA,11.2,12.8,9.9
2020-06-17,NA,11.2,8.6,13.6
2020-06-16,NA,8.2,10.6,17.2
2020-06-15,NA,18.7,9.5,12.2
2020-06-14,NA,13.1,9.7,12.5
2020-06-13,NA,15.5,11.1,13.6
2020-06-12,8.3,11.9,14.1,12.6
2020-06-11,10.5,19.3,13.7,11.7
2020-06-10,11.7,25,14.8,16.5
2020-06-09,11.6,25.1,10.8,17
2020-06-08,9.6,18.9,12.4,12
2020-06-07,8.9,13.1,14.3,10.6
2020-06-06,7.4,17.7,12.1,12.5
2020-06-05,9.4,16.2,11.6,15.4
2020-06-04,13,12.5,11.7,22.4
2020-06-03,10.1,12.1,11.5,26.7
2020-06-02,8.5,12,17.1,22
2020-06-01,9.9,23.1,11.8,19.9
2020-05-31,6.7,20.2,16.8,19.5
2020-05-30,7,29.5,12.7,17.6
2020-05-29,7.2,24.6,20.7,15.4
2020-05-28,6.3,23.2,25.8,15
2020-05-27,10.3,21.2,26.1,18.8
2020-05-26,13.2,15.6,29.7,23.8
2020-05-25,11.9,13.4,29.7,23.9
2020-05-24,10.7,16.5,27.7,24.5
2020-05-23,13.9,23.7,35.4,22.8
2020-05-22,15.9,20.9,27.1,26
2020-05-21,11.1,21.1,21.5,16.4
2020-05-20,13.2,26.1,21.3,17.1
2020-05-19,17.7,16.6,29.5,15.2
2020-05-18,14.3,13.8,19.2,11.7
2020-05-17,12.9,17.4,17.8,12.3
2020-05-16,10.4,19.4,17.1,13.9
2020-05-15,9.8,25.2,15.4,16.9
2020-05-14,10.3,13.5,16,19.4
2020-05-13,8.1,21,12.4,20.9
2020-05-12,7.6,12.8,27.3,20.4
