day_month,y2020,y2019,y2018,y2017
2020-07-02,NA,NA,NA,6.5
2020-07-01,NA,NA,7.1,8.6
2020-06-30,NA,12.5,8.2,4.9
2020-06-29,NA,11.3,9.1,5.7
2020-06-28,NA,10.1,9.8,7.8
2020-06-27,NA,13.1,12.5,10.2
2020-06-26,NA,13.1,11.3,15.6
2020-06-25,NA,11.7,12.9,17.1
2020-06-24,NA,10.4,19.8,17.3
2020-06-23,NA,18.3,21.3,11.8
2020-06-22,NA,21.9,21.5,10.2
2020-06-21,NA,16.6,20.5,11
2020-06-20,NA,21.7,23.1,11
2020-06-19,NA,12.5,19.4,7.9
2020-06-18,NA,19.1,12.3,8.3
2020-06-17,NA,13.2,13.2,11.8
2020-06-16,NA,16.6,9.3,15.5
2020-06-15,NA,18.4,9.2,23.4
2020-06-14,NA,15.9,8.6,15.4
2020-06-13,NA,15.8,5.4,14.3
2020-06-12,14.3,21.9,7.4,23.6
2020-06-11,14.9,9.7,10.8,26.8
2020-06-10,12,14.4,10,18.4
2020-06-09,15.4,13.2,12.3,13.9
2020-06-08,18,15.5,17.2,13.3
2020-06-07,15.6,24.6,15.1,12.5
2020-06-06,16.3,20.6,16.6,8.2
2020-06-05,14.5,17.7,18.9,9.5
2020-06-04,12.8,23.3,22,9.8
2020-06-03,17.5,18.2,19.1,7.5
2020-06-02,17.2,15.7,15.8,10.2
2020-06-01,15.4,15.8,17.6,12.2
2020-05-31,16,12.8,14.3,10.6
2020-05-30,19.1,8.3,22.4,16.7
2020-05-29,17.1,15.6,18.7,13
2020-05-28,20.5,15.6,15.8,17.5
2020-05-27,26.7,15.3,13.7,21.7
2020-05-26,11.4,20.9,11.4,19.1
2020-05-25,17.8,17.8,8.3,17.6
2020-05-24,20,7.1,10.1,12.3
2020-05-23,13.8,8.5,12.8,11.4
2020-05-22,14.4,7.6,14.7,5.7
2020-05-21,25,13.8,19.2,12.5
2020-05-20,23.2,11.7,13.5,15.8
2020-05-19,16.4,16.6,14.4,14.9
2020-05-18,13.6,11,25.8,14.3
2020-05-17,21.2,11,29.1,15.5
2020-05-16,23.7,11.9,16.3,17.9
2020-05-15,19.4,9.9,23.3,7.6
2020-05-14,13,19.7,19,10.6
2020-05-13,17.7,18.7,23.1,13.8
2020-05-12,24.7,18.3,16.1,17.9
2020-05-11,21.8,21.4,13.2,17.9
2020-05-10,24.5,13.7,18.9,19.9
2020-05-09,30.3,7.2,18,13.5
2020-05-08,27.1,8.2,25,14.1
2020-05-07,29.5,6.3,9.6,8.5
2020-05-06,18.2,8.5,17.1,13.5
2020-05-05,14,14.4,17.1,19.4
2020-05-04,15.8,14,21.6,15.2
2020-05-03,18.3,23.7,13.9,12.2
2020-05-02,21.4,21.9,25,16.3
2020-05-01,16.9,15.1,25.6,21.2
2020-04-30,20.7,8.4,20.4,19.5
2020-04-29,20.2,11.9,24,15.9
2020-04-28,19.8,15.9,26.2,13
2020-04-27,16.7,14.3,21.5,15.9
2020-04-26,18.9,8.9,10.1,19.9
2020-04-25,20.6,20.7,5.2,25.6
2020-04-24,14.7,18,10.3,16.7
2020-04-23,16.6,10.6,29,9.8
2020-04-22,14.1,10.3,18.5,11.2
2020-04-21,16.6,9.4,16.7,12.5
2020-04-20,9.6,9.4,13.4,7.2
2020-04-19,12.7,10.2,10.6,9.8
2020-04-18,18.6,14.4,14.5,10.2
2020-04-17,22.9,15.7,10.6,17.5
2020-04-16,14,16,8.5,11.4
2020-04-15,10.4,12,10.2,11.8
2020-04-14,12.3,NA,12.2,10.6
2020-04-13,12.5,13,11,6.8
2020-04-12,18.2,15,12.6,19.9
2020-04-11,16.8,9.9,14.7,24.4
2020-04-10,11.6,10.4,13,24.9
2020-04-09,17.2,9.7,12.2,22.8
2020-04-08,17.7,10.9,17.5,7.4
2020-04-07,16.8,12.3,15.5,15.3
2020-04-06,14.9,8.1,14.3,13.5
2020-04-05,15.9,5.4,19.3,13.5
2020-04-04,16,12.6,17.5,11.8
2020-04-03,18,9.3,17.9,10.6
2020-04-02,14.2,9.8,19.1,7.4
2020-04-01,12.1,17.5,26.2,5.5
2020-03-31,15.5,14.5,18.7,8.6
2020-03-30,15.7,8.9,15.1,7.8
2020-03-29,14.4,6.2,18.3,6.5
2020-03-28,7.4,5.9,15.5,5.3
2020-03-27,8.4,10.2,8.4,16.6
2020-03-26,8.6,8,15.3,19.9
2020-03-25,8.3,7.4,15.4,10.3
2020-03-24,8.7,13,13.7,6.1
2020-03-23,12.1,17.3,11.9,4.5
2020-03-22,13.7,16.2,14.7,4.9
2020-03-21,8.9,11.4,11.8,5.7
2020-03-20,8.6,8.5,8.1,6.2
2020-03-19,7.1,5.7,11,3.8
2020-03-18,10.2,7.5,10.2,7.9
2020-03-17,9,7.5,8.9,5.3
2020-03-16,7.9,11.8,9,5.2
2020-03-15,7.7,6.9,8.6,5.7
2020-03-14,7.5,4.8,9.4,5.9
2020-03-13,7.1,6.6,9.4,12.7
2020-03-12,8.1,8.2,9.9,10.6
2020-03-11,14.4,9.3,11.8,14.5
2020-03-10,10.8,8.9,12.9,10.1
2020-03-09,8.5,6.8,16.3,12.8
2020-03-08,4.9,5.2,13,20.9
2020-03-07,11.1,5.9,12.2,11.2
2020-03-06,10.3,5.3,11.4,11
2020-03-05,11.5,7.3,9.4,13.5
2020-03-04,10.7,9.5,8.6,7.8
2020-03-03,3.1,7.3,8.4,7.8
2020-03-02,5.4,4.2,9.4,9
2020-03-01,10.7,6.5,7,7.4
2020-02-29,10.6,NA,NA,NA
2020-02-28,11.5,5.1,9,5.7
2020-02-27,6.6,7.1,10.2,10.6
2020-02-26,5.8,11.1,11.4,12.3
2020-02-25,5.3,8.1,9.8,15.2
2020-02-24,7.2,8.5,9.8,17.8
2020-02-23,6.7,12.5,6.1,11.9
2020-02-22,6.3,7.3,7.8,7.7
2020-02-21,12.7,6.4,9.4,9.9
2020-02-20,17,4,7,7
2020-02-19,10.2,4.5,7,5.7
2020-02-18,6.2,5.7,8.2,4.9
2020-02-17,4,5.8,8.2,9.4
2020-02-16,4.2,6.1,7.2,10.3
2020-02-15,9.3,5.5,9,4.9
2020-02-14,13.7,7.2,9.7,10.2
2020-02-13,10,4.5,9,6.5
2020-02-12,6.5,4.4,11.4,5.7
2020-02-11,4.6,4.2,8.6,4.5
2020-02-10,4.1,4.4,7.2,10.2
2020-02-09,4.9,7.4,7.6,8.3
2020-02-08,5.1,5.5,7.5,5.6
2020-02-07,4.9,8.6,11.4,9.8
2020-02-06,4.5,5.6,9,7
2020-02-05,4.6,6.3,7.1,14.7
2020-02-04,4.2,3.8,10.6,8.6
2020-02-03,3.5,6.1,9,4.1
2020-02-02,3.8,6.3,7.8,4.5
2020-02-01,3.8,7,8.2,4.3
2020-01-31,3.5,5.9,9.2,4.5
2020-01-30,3.7,4.5,8.6,4.1
2020-01-29,3.5,6.6,8.2,8.2
2020-01-28,4.9,6.8,5.7,5.5
2020-01-27,3.8,6.4,7,6.5
2020-01-26,4,7.6,4.9,5.3
2020-01-25,3.5,7.9,3.6,7.4
2020-01-24,6.9,6.1,5.7,4.5
2020-01-23,6.4,3.8,9.4,3.9
2020-01-22,3.5,7.2,12.2,4.1
2020-01-21,3.7,6.2,11,5.9
2020-01-20,4.9,5.8,10.6,7.4
2020-01-19,4.9,3.1,11,6.5
2020-01-18,2.9,2.6,12.2,4.1
2020-01-17,3,3.8,10.6,6.9
2020-01-16,3,3.7,11.8,7.3
2020-01-15,3.9,6.8,11,4.5
2020-01-14,4,6.3,10,5
2020-01-13,4.6,5.1,11,11
2020-01-12,4.6,3.6,10.3,6.8
2020-01-11,5.1,3.6,11.4,7
2020-01-10,4.5,5,9.8,6.1
2020-01-09,4.6,5.8,9,4.9
2020-01-08,2.9,4.1,9,7.3
2020-01-07,3.6,3.6,8.2,4.7
2020-01-06,3.4,5.4,8.2,6.2
2020-01-05,4.6,5.3,7.4,5.3
2020-01-04,3.7,3.8,7.8,4.7
2020-01-03,3.3,4.3,8.6,3.7
2020-01-02,3.8,4.5,8.1,6.5
2020-01-01,4.7,4.1,8.5,4.5
