day_month,y2020,y2019,y2018,y2017
2020-07-02,NA,NA,NA,5.1
2020-07-01,NA,NA,4.1,4.9
2020-06-30,NA,5.8,4.4,4.6
2020-06-29,NA,5.7,4.6,4.6
2020-06-28,NA,6.5,4.3,4.7
2020-06-27,NA,6.3,4.8,4.4
2020-06-26,NA,6.8,6.4,5.7
2020-06-25,NA,6.5,6.8,5.8
2020-06-24,NA,5.5,9.6,6.5
2020-06-23,NA,5.5,9.5,5.7
2020-06-22,NA,8.3,8.5,4.6
2020-06-21,NA,6.6,8.1,5.6
2020-06-20,NA,5.3,7.7,4
2020-06-19,NA,6.9,5.5,5.5
2020-06-18,NA,4.5,6,4.5
2020-06-17,NA,5.8,5.3,5.4
2020-06-16,NA,5.1,5.9,6.9
2020-06-15,NA,8,5.1,6.9
2020-06-14,6.5,6.3,5.1,6.9
2020-06-13,4.5,6.2,4.5,6.1
2020-06-12,5.7,6,5.9,6.8
2020-06-11,5.7,6.5,6,6.6
2020-06-10,6.3,7.9,5.6,7.3
2020-06-09,7,9.4,5.5,7.2
2020-06-08,6.9,7.1,6,4.5
2020-06-07,5.4,7.2,8.7,5.6
2020-06-06,4.7,7.3,7.3,4.5
2020-06-05,5.9,7.7,6.1,5.3
2020-06-04,6.6,6.6,6,7.3
2020-06-03,6.6,5.7,6.1,7.3
2020-06-02,5.1,6.8,3.6,6.1
2020-06-01,6,10,6.2,6.1
2020-05-31,3.9,9.9,7.2,5.9
2020-05-30,4.2,9.2,6.7,6.5
2020-05-29,4.6,10.1,9.6,4.5
2020-05-28,5.2,8.5,12.9,4.9
2020-05-27,6.4,7.6,9.6,6.9
2020-05-26,6.4,7.7,12.1,8.6
2020-05-25,8.4,6.5,10.1,9.4
2020-05-24,7.7,6.4,13.2,7
2020-05-23,7.7,10.6,13,7.3
2020-05-22,10.8,7.6,11.5,6.8
2020-05-21,7.2,8.3,10,8.4
2020-05-20,7.6,8.4,10.7,6.9
2020-05-19,9.1,7.5,10,8.4
2020-05-18,8.3,5.3,6.4,8.2
2020-05-17,8,6.5,6.3,7.3
2020-05-16,6.8,6.8,4.6,10.3
2020-05-15,6.3,8.9,6.4,6.9
2020-05-14,5.6,6.6,5.6,8.6
2020-05-13,7.3,13,4.8,9.4
2020-05-12,6,8,8.7,11.8
2020-05-11,5.1,9.3,7.6,10.2
2020-05-10,5.3,7.8,5.6,6.7
2020-05-09,5.9,9.7,6.2,7.3
2020-05-08,6,9.9,4.1,10.5
2020-05-07,5.6,9,7.9,11.4
2020-05-06,6.5,10.3,6.9,9.8
2020-05-05,6.7,10.8,5.8,10.2
2020-05-04,5.4,9.1,4.3,5.9
2020-05-03,4.7,8.3,4.4,11.8
2020-05-02,5.1,8.5,4.1,7.9
2020-05-01,6.5,12.5,4.4,6.9
2020-04-30,5.9,14,6.1,8.2
2020-04-29,6,9.8,7.3,8.2
2020-04-28,5.3,8.9,5.8,6.9
2020-04-27,4.8,8.6,6.5,9
2020-04-26,5.5,10.1,10,6.5
2020-04-25,4.9,8.5,7.8,7.3
2020-04-24,6.7,9.1,8.7,6.5
2020-04-23,6.6,10.6,5.7,6.7
2020-04-22,6.8,11.6,8.5,6.4
2020-04-21,6.3,9.4,6,6.9
2020-04-20,5.6,9.4,6.7,9
2020-04-19,5.1,8.4,7.4,9
2020-04-18,5.4,6.9,5.7,9
2020-04-17,6.1,4.8,6.3,7.8
2020-04-16,7.2,5.9,9.8,11.9
2020-04-15,6.7,9,8.3,13.8
2020-04-14,7.2,NA,7.2,15.9
2020-04-13,7.2,9.4,5.8,13.8
2020-04-12,6.3,9.3,4.3,10.2
2020-04-11,7.3,10,4.1,9
2020-04-10,6.4,8.9,6.1,6.9
2020-04-09,5.7,10.7,4.7,8.2
2020-04-08,6,7.4,4.7,11.4
2020-04-07,5.9,8.9,4.9,6.9
2020-04-06,6.2,10.3,8.7,5.3
2020-04-05,7.6,12.5,9.8,4.6
2020-04-04,6,12.9,7.3,8.6
2020-04-03,5.7,8.9,6.7,7.8
2020-04-02,5,10.7,6.9,6.5
2020-04-01,6.3,8.8,4.7,7.9
2020-03-31,5.8,8.9,7.3,7.2
2020-03-30,6,10.8,6.9,5.8
2020-03-29,4.9,9.9,7,4.9
