day_month,y2020,y2019,y2018,y2017
2020-07-02,NA,NA,NA,99
2020-07-01,NA,NA,87,137
2020-06-30,NA,153,112,105
2020-06-29,NA,144,99,106
2020-06-28,NA,145,74,117
2020-06-27,NA,151,129,133
2020-06-26,NA,152,132,152
2020-06-25,NA,137,159,166
2020-06-24,NA,72,153,160
2020-06-23,NA,107,164,152
2020-06-22,NA,152,164,155
2020-06-21,NA,157,162,154
2020-06-20,NA,112,158,117
2020-06-19,NA,163,139,156
2020-06-18,NA,78,152,157
2020-06-17,NA,102,161,134
2020-06-16,NA,100,188,153
2020-06-15,NA,161,195,158
2020-06-14,NA,127,213,159
2020-06-13,NA,132,262,153
2020-06-12,160,127,180,156
2020-06-11,127,173,156,132
2020-06-10,140,158,152,162
2020-06-09,152,171,139,160
2020-06-08,122,157,160,134
2020-06-07,111,142,157,130
2020-06-06,92,156,152,158
2020-06-05,113,157,134,155
2020-06-04,149,129,152,170
2020-06-03,132,154,147,168
2020-06-02,99,158,122,178
2020-06-01,107,169,155,170
2020-05-31,67,162,158,153
2020-05-30,70,165,153,158
2020-05-29,74,157,178,145
2020-05-28,99,144,178,119
2020-05-27,107,151,172,157
2020-05-26,127,139,170,181
2020-05-25,142,109,167,174
2020-05-24,132,109,181,177
2020-05-23,157,168,189,173
2020-05-22,160,152,166,177
2020-05-21,124,159,158,209
2020-05-20,139,164,164,176
2020-05-19,164,158,173,176
2020-05-18,161,109,169,172
2020-05-17,160,165,177,166
2020-05-16,154,154,158,183
2020-05-15,107,161,156,176
2020-05-14,134,132,137,190
2020-05-13,153,199,163,207
2020-05-12,107,203,199,222
2020-05-11,112,168,192,165
2020-05-10,137,162,167,159
2020-05-09,144,183,156,176
2020-05-08,123,183,119,199
2020-05-07,77,180,178,209
2020-05-06,132,177,177,197
2020-05-05,133,173,154,205
2020-05-04,68,157,114,171
2020-05-03,97,117,122,198
2020-05-02,91,158,139,189
2020-05-01,151,180,139,161
2020-04-30,132,174,159,164
2020-04-29,144,160,167,179
2020-04-28,99,157,165,164
2020-04-27,79,157,171,163
2020-04-26,110,160,192,151
2020-04-25,72,166,181,164
2020-04-24,151,166,179,162
2020-04-23,148,171,154,165
2020-04-22,137,173,152,177
2020-04-21,98,163,172,183
