day_month,y2020,y2019,y2018,y2017
01-01,342,354,302,164
01-02,305,405,318,256
01-03,187,421,192,192
01-04,194,220,226,175
01-05,159,266,200,167
01-06,141,141,219,149
01-07,112,159,177,110
01-08,100,141,146,120
01-09,90,141,209,128
01-10,120,153,167,118
01-11,132,282,146,146
01-12,190,365,158,249
01-13,187,246,210,279
01-14,109,105,161,215
01-15,117,122,176,181
01-16,123,270,129,147
01-17,96,404,217,111
01-18,123,230,312,154
01-19,120,295,293,127
01-20,129,401,167,115
01-21,196,175,152,152
01-22,163,59,196,199
01-23,90,120,160,149
01-24,94,128,149,239
01-25,139,83,139,196
01-26,188,109,151,115
01-27,183,127,176,61
01-28,99,122,158,102
01-29,85,132,171,110
01-30,104,183,154,161
01-31,104,174,151,153
02-01,121,157,172,130
02-02,118,156,159,204
02-03,143,123,136,172
02-04,180,134,146,166
02-05,137,292,167,142
02-06,122,159,159,195
02-07,144,71,139,101
02-08,146,98,186,148
02-09,143,96,199,141
02-10,168,150,200,128
02-11,176,175,164,146
02-12,167,200,93,140
02-13,110,190,107,137
02-14,101,137,96,161
02-15,109,117,108,176
02-16,139,112,129,168
02-17,162,107,145,144
02-18,140,123,137,139
02-19,149,127,178,155
02-20,131,99,183,172
02-21,60,104,192,143
02-22,73,87,166,134
02-23,108,78,183,115
02-24,93,99,190,100
02-25,131,112,119,100
02-26,150,83,94,126
02-27,118,69,108,131
02-28,101,109,157,169
02-29,82,NA,NA,NA
03-01,62,109,141,179
03-02,120,114,146,138
03-03,124,67,120,100
03-04,115,98,107,113
03-05,57,82,99,129
03-06,33,105,100,137
03-07,61,121,109,151
03-08,89,120,149,126
03-09,81,103,129,88
03-10,90,100,101,69
03-11,78,126,106,70
03-12,99,87,126,90
03-13,119,135,133,94
03-14,59,137,175,105
03-15,80,92,187,124
03-16,91,91,142,139
03-17,101,112,120,130
03-18,99,117,94,122
03-19,114,131,107,141
03-20,118,136,140,148
03-21,109,113,178,151
03-22,80,83,114,166
03-23,70,92,95,179
03-24,79,87,112,136
03-25,57,97,115,104
03-26,59,106,115,116
03-27,36,109,136,109
03-28,29,144,142,141
03-29,50,145,126,157
03-30,52,142,137,104
03-31,56,111,160,133
04-01,54,104,119,137
04-02,54,124,134,107
04-03,51,122,142,100
04-04,57,158,141,115
04-05,70,156,173,103
04-06,77,183,128,113
04-07,70,192,86,438
04-08,63,167,87,209
04-09,58,127,76,107
04-10,73,140,143,111
04-11,80,122,81,129
04-12,64,129,69,151
04-13,83,115,107,181
04-14,87,NA,131,187
04-15,124,112,141,197
04-16,121,86,189,177
04-17,68,53,154,186
04-18,70,64,145,228
04-19,52,99,156,170
04-20,75,116,192,156
04-21,63,123,400,245
04-22,77,152,132,190
04-23,85,163,125,132
04-24,83,155,157,134
04-25,58,164,167,137
04-26,75,143,269,97
04-27,45,178,193,143
04-28,58,167,198,131
04-29,76,154,156,172
04-30,79,178,130,134
05-01,93,193,107,113
05-02,76,170,98,131
05-03,62,93,95,169
05-04,47,126,83,131
05-05,75,153,104,205
05-06,100,175,169,166
05-07,57,242,178,160
05-08,76,283,79,185
05-09,85,308,112,171
05-10,75,182,123,121
05-11,70,161,167,132
05-12,68,255,200,315
05-13,99,195,137,172
05-14,81,81,101,149
05-15,70,121,113,159
05-16,89,115,124,168
05-17,103,154,173,131
05-18,104,71,139,135
05-19,112,104,155,144
05-20,92,130,137,160
05-21,98,122,130,321
05-22,120,123,139,186
05-23,124,144,188,135
05-24,114,80,172,134
05-25,98,82,146,125
05-26,114,88,152,137
05-27,99,106,178,160
05-28,139,109,163,77
05-29,53,120,180,84
05-30,45,140,167,85
05-31,37,200,144,86
06-01,62,172,135,127
06-02,68,137,101,153
06-03,81,170,101,148
06-04,91,109,117,200
06-05,66,125,98,149
06-06,58,139,103,150
06-07,65,106,106,99
06-08,73,113,120,81
06-09,92,149,80,126
06-10,95,136,94,139
06-11,75,272,134,76
06-12,NA,133,303,101
06-13,NA,118,999,115
06-14,NA,119,809,178
06-15,NA,168,522,224
06-16,NA,90,440,87
06-17,NA,90,143,71
06-18,NA,56,103,138
06-19,NA,140,103,138
06-20,NA,85,137,68
06-21,NA,118,149,84
06-22,NA,110,150,90
06-23,NA,82,148,97
06-24,NA,66,125,118
06-25,NA,83,161,125
06-26,NA,102,112,101
06-27,NA,134,75,96
06-28,NA,149,48,67
06-29,NA,161,59,55
06-30,NA,164,63,57
07-01,NA,NA,60,78
07-02,NA,NA,NA,59
